Order ID,Row ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Factory Latitude,Factory Longitude,Distance (km),Lead Time,Profit Margin (%),Sales per Unit,Cost per Unit,Distance Category,High Value Order,Route ID,Shipping Rate ($/km),Estimated Shipping Cost,Delivery Efficiency Score,Factory Order Count,Factory Workload,Current Factory,Simulated Factory,Simulated Distance (km),Predicted Shipping Cost,Predicted Lead Time,Lead Time Improvement,Shipping Cost Savings,Estimated Gross Profit,Profit Impact,Optimization Score,Recommendation,Priority,Scenario Confidence Score
ORD00001,1,2025-02-07,2025-02-08,1,CUST9313,USA,Houston,TX,38140,2,2,P138,Laffy Taffy,763.73,284,270.9,492.83,2,48.11914,-96.18115,297,1,35.47,2.69,1.74,2,1,Sugar Shack_South,1.1,326.7,297.0,1676,0,2,Secret Factory,252.45,277.7,1.002242700127834,-0.0,49.0,-6.8,-277.7,-40.84,Reallocate,Low,75.0
ORD00002,2,2025-05-04,2025-05-05,1,CUST3028,USA,Chicago,IL,39260,0,0,P745,Wonka Bar - Fudge Mallows,199.1,56,37.95,161.15,0,32.881893,-111.768036,386,1,19.06,3.56,2.88,2,0,Lot's O' Nuts_Central,1.1,424.6,386.0,996,0,0,Secret Factory,328.1,360.91,1.002242700127834,-0.0,63.69,-322.96,-360.91,-53.08,Reallocate,Low,75.0
ORD00003,3,2025-04-24,2025-04-25,1,CUST7867,USA,New York,NY,28907,2,1,P653,Everlasting Gobstopper,122.13,33,26.71,95.42,1,41.446333,-90.565487,303,1,21.87,3.7,2.89,2,0,Secret Factory_East,1.1,333.3,303.0,977,2,1,Secret Factory,257.55,283.31,1.002242700127834,-0.0,49.99,-256.6,-283.31,-41.67,Reallocate,Low,75.0
ORD00004,4,2025-10-25,2025-10-29,2,CUST2028,USA,Los Angeles,CA,83972,0,3,P161,Wonka Bar - Fudge Mallows,393.92,106,136.23,257.69,0,32.881893,-111.768036,522,4,34.58,3.72,2.43,1,0,Lot's O' Nuts_West,0.6,313.2,130.5,996,0,0,Secret Factory,443.7,266.22,2.9977092294356473,1.0,46.98,-129.99,-266.22,-38.65,Reallocate,Medium,80.0
ORD00005,5,2025-08-07,2025-08-12,1,CUST6924,USA,Houston,TX,49291,1,2,P354,Fizzy Lifting Drinks,794.38,170,341.5,452.88,2,48.11914,-96.18115,2277,5,42.99,4.67,2.66,3,1,Sugar Shack_South,1.1,2504.7,455.4,1676,0,2,Secret Factory,1935.45,2129.0,4.001485024027505,1.0,375.7,-1787.5,-2129.0,-312.59,Reallocate,Medium,80.0
ORD00006,6,2025-10-22,2025-10-25,2,CUST8353,USA,Houston,TX,47740,1,2,P723,Lickable Wallpaper,790.98,163,332.46,458.52,1,41.446333,-90.565487,435,3,42.03,4.85,2.81,2,1,Secret Factory_South,0.6,261.0,145.0,977,2,1,Secret Factory,369.75,221.85,2.9977092294356473,0.0,39.15,110.61,-221.85,-32.63,Reallocate,Low,75.0
ORD00007,7,2025-06-25,2025-06-27,1,CUST2271,USA,New York,NY,83148,0,1,P686,Wonka Bar - Fudge Mallows,484.57,87,151.08,333.49,0,32.881893,-111.768036,775,2,31.18,5.57,3.83,1,0,Lot's O' Nuts_East,1.1,852.5,387.5,996,0,0,Secret Factory,658.75,724.63,1.9990753050185086,0.0,127.87,-573.55,-724.63,-106.57,Reallocate,Low,75.0
ORD00008,8,2025-11-01,2025-11-06,0,CUST2533,USA,Los Angeles,CA,45381,1,3,P585,Lickable Wallpaper,1147.63,264,368.9,778.73,1,41.446333,-90.565487,1534,5,32.14,4.35,2.95,3,1,Secret Factory_West,0.8,1227.2,306.8,977,2,1,Secret Factory,1303.9,1043.12,3.983023093528468,1.02,184.08,-674.22,-1043.12,-152.89,Reallocate,Medium,80.1
ORD00009,9,2025-11-28,2025-12-04,3,CUST6685,USA,New York,NY,12957,2,1,P572,Hair Toffee,753.43,238,227.1,526.33,3,35.1175,-89.971107,1368,6,30.14,3.17,2.21,0,1,The Other Factory_East,0.45,615.6,228.0,681,1,3,Secret Factory,1162.8,523.26,5.999047563503864,0.0,92.34,-296.16,-523.26,-76.95,Reallocate,Low,75.0
ORD00010,10,2025-01-31,2025-02-08,3,CUST5056,USA,Houston,TX,62153,2,2,P500,Laffy Taffy,528.79,121,114.9,413.89,2,48.11914,-96.18115,2122,8,21.73,4.37,3.42,3,0,Sugar Shack_South,0.45,954.9,265.25,1676,0,2,Secret Factory,1803.7,811.67,7.003233455938611,1.0,143.23,-696.77,-811.67,-118.86,Reallocate,Medium,80.0
ORD00011,11,2025-08-18,2025-08-23,3,CUST8053,USA,Chicago,IL,82118,1,0,P385,Kazookles,1068.85,215,451.03,617.82,3,35.1175,-89.971107,781,5,42.2,4.97,2.87,1,1,The Other Factory_Central,0.45,351.45,156.2,681,1,3,Secret Factory,663.85,298.73,5.0000098079598345,-0.0,52.72,152.3,-298.73,-43.93,Reallocate,Low,75.0
ORD00012,12,2025-04-29,2025-05-04,0,CUST4822,USA,Chicago,IL,11581,2,0,P596,Hair Toffee,191.75,87,43.2,148.55,3,35.1175,-89.971107,1658,5,22.53,2.2,1.71,3,0,The Other Factory_Central,0.8,1326.4,331.6,681,1,3,Secret Factory,1409.3,1127.44,3.990509807620237,1.01,198.96,-1084.24,-1127.44,-165.3,Reallocate,Medium,80.0
ORD00013,13,2025-01-03,2025-01-07,0,CUST6220,USA,Houston,TX,26448,1,2,P807,Wonka Gum,304.18,84,90.2,213.98,1,41.446333,-90.565487,1254,4,29.65,3.62,2.55,0,0,Secret Factory_South,0.8,1003.2,313.5,977,2,1,Secret Factory,1065.9,852.72,3.9519608844520153,0.05,150.48,-762.52,-852.72,-125.38,Reallocate,Low,75.2
ORD00014,14,2025-07-20,2025-07-25,1,CUST7560,USA,New York,NY,18158,1,1,P295,Wonka Gum,671.4,213,139.44,531.96,1,41.446333,-90.565487,2390,5,20.77,3.15,2.5,3,1,Secret Factory_East,1.1,2629.0,478.0,977,2,1,Secret Factory,2031.5,2234.65,4.997848677003352,0.0,394.35,-2095.21,-2234.65,-328.63,Reallocate,Low,75.0
ORD00015,15,2025-02-26,2025-02-28,1,CUST3478,USA,Houston,TX,80335,0,2,P203,Wonka Bar - Fudge Mallows,696.72,184,144.39,552.33,0,32.881893,-111.768036,764,2,20.72,3.79,3.0,1,1,Lot's O' Nuts_South,1.1,840.4,382.0,996,0,0,Secret Factory,649.4,714.34,1.9990753050185086,0.0,126.06,-569.95,-714.34,-105.05,Reallocate,Low,75.0
ORD00016,16,2025-11-11,2025-11-16,3,CUST6691,USA,New York,NY,88941,2,1,P472,Laffy Taffy,510.84,202,132.82,378.02,2,48.11914,-96.18115,951,5,26.0,2.53,1.87,1,0,Sugar Shack_East,0.45,427.95,190.2,1676,0,2,Secret Factory,808.35,363.76,5.0000098079598345,-0.0,64.19,-230.94,-363.76,-53.5,Reallocate,Low,75.0
ORD00017,17,2025-08-27,2025-09-04,3,CUST2674,USA,New York,NY,54909,2,1,P858,Nerds,864.73,255,173.79,690.94,2,48.11914,-96.18115,2099,8,20.1,3.39,2.71,3,1,Sugar Shack_East,0.45,944.55,262.38,1676,0,2,Secret Factory,1784.15,802.87,7.003233455938611,1.0,141.68,-629.08,-802.87,-117.57,Reallocate,Medium,80.0
ORD00018,18,2025-01-12,2025-01-19,2,CUST3401,USA,Chicago,IL,81194,0,0,P127,Wonka Bar - Triple Dazzle Caramel,676.43,115,230.52,445.91,4,32.076176,-81.088371,2214,7,34.08,5.88,3.88,3,1,Wicked Choccy's_Central,0.6,1328.4,316.29,670,1,4,Secret Factory,1881.9,1129.14,5.987635924247655,1.01,199.26,-898.62,-1129.14,-165.55,Reallocate,Medium,80.0
ORD00019,19,2025-09-23,2025-09-29,3,CUST4650,USA,Los Angeles,CA,79807,1,3,P654,Lickable Wallpaper,1049.91,197,307.09,742.82,1,41.446333,-90.565487,1169,6,29.25,5.33,3.77,0,1,Secret Factory_West,0.45,526.05,194.83,977,2,1,Secret Factory,993.65,447.14,5.017184459510917,0.98,78.91,-140.05,-447.14,-65.26,Reallocate,Low,79.9
ORD00020,20,2025-05-03,2025-05-07,2,CUST9480,USA,Los Angeles,CA,74589,1,3,P464,Lickable Wallpaper,962.19,215,242.01,720.18,1,41.446333,-90.565487,899,4,25.15,4.48,3.35,1,1,Secret Factory_West,0.6,539.4,224.75,977,2,1,Secret Factory,764.15,458.49,3.9920865563465107,0.01,80.91,-216.48,-458.49,-67.42,Reallocate,Low,75.0
ORD00021,21,2025-08-30,2025-09-05,3,CUST6640,USA,New York,NY,68619,2,1,P927,Hair Toffee,440.38,142,158.64,281.74,3,35.1175,-89.971107,1244,6,36.02,3.1,1.98,0,0,The Other Factory_East,0.45,559.8,207.33,681,1,3,Secret Factory,1057.4,475.83,5.9784853561235245,0.02,83.97,-317.19,-475.83,-69.96,Reallocate,Low,75.1
ORD00022,22,2025-04-23,2025-04-25,0,CUST4348,USA,Los Angeles,CA,73262,1,3,P739,Kazookles,168.92,62,40.76,128.16,3,35.1175,-89.971107,429,2,24.13,2.72,2.07,2,0,The Other Factory_West,0.8,343.2,214.5,681,1,3,Secret Factory,364.65,291.72,2.005895712188211,-0.01,51.48,-250.96,-291.72,-42.91,Reallocate,Low,75.0
ORD00023,23,2025-11-26,2025-11-30,1,CUST7365,USA,New York,NY,36125,1,1,P589,Kazookles,241.78,53,51.69,190.09,3,35.1175,-89.971107,1509,4,21.38,4.56,3.59,3,0,The Other Factory_East,1.1,1659.9,377.25,681,1,3,Secret Factory,1282.65,1410.92,3.0015818442642255,1.0,248.98,-1359.23,-1410.92,-206.99,Reallocate,Medium,80.0
ORD00024,24,2025-02-14,2025-02-17,1,CUST2391,USA,Houston,TX,30821,1,2,P274,Kazookles,927.49,212,364.01,563.48,3,35.1175,-89.971107,1461,3,39.25,4.37,2.66,0,1,The Other Factory_South,1.1,1607.1,487.0,681,1,3,Secret Factory,1241.85,1366.04,3.0015818442642255,-0.0,241.06,-1002.03,-1366.04,-200.89,Reallocate,Low,75.0
ORD00025,25,2025-12-02,2025-12-09,2,CUST8771,USA,New York,NY,96149,0,1,P458,Wonka Bar -Scrumdiddlyumptious,396.28,84,141.85,254.43,0,32.881893,-111.768036,2006,7,35.8,4.72,3.03,3,0,Lot's O' Nuts_East,0.6,1203.6,286.57,996,0,0,Secret Factory,1705.1,1023.06,5.997642499407235,1.0,180.54,-881.21,-1023.06,-149.95,Reallocate,Medium,80.0
ORD00026,26,2025-11-29,2025-12-03,3,CUST8107,USA,Houston,TX,35533,0,2,P945,Wonka Bar -Scrumdiddlyumptious,307.36,62,132.74,174.62,0,32.881893,-111.768036,158,4,43.19,4.96,2.82,2,0,Lot's O' Nuts_South,0.45,71.1,39.5,996,0,0,Secret Factory,134.3,60.44,4.001990339078945,-0.0,10.66,72.3,-60.44,-8.89,Reallocate,Low,75.0
ORD00027,27,2025-04-19,2025-04-25,3,CUST6341,USA,Houston,TX,43995,1,2,P657,Wonka Gum,725.81,159,288.1,437.71,1,41.446333,-90.565487,1131,6,39.69,4.56,2.75,0,1,Secret Factory_South,0.45,508.95,188.5,977,2,1,Secret Factory,961.35,432.61,5.0000098079598345,1.0,76.34,-144.51,-432.61,-63.12,Reallocate,Medium,80.0
ORD00028,28,2025-08-23,2025-08-30,3,CUST9219,USA,Houston,TX,27139,2,2,P644,SweeTARTS,1223.92,274,524.79,699.13,2,48.11914,-96.18115,1549,7,42.88,4.47,2.55,3,1,Sugar Shack_South,0.45,697.05,221.29,1676,0,2,Secret Factory,1316.65,592.49,5.999047563503864,1.0,104.56,-67.7,-592.49,-86.63,Reallocate,Medium,80.0
ORD00029,29,2025-11-08,2025-11-10,1,CUST3319,USA,New York,NY,72061,0,1,P733,Wonka Bar -Scrumdiddlyumptious,53.25,12,11.97,41.28,0,32.881893,-111.768036,850,2,22.48,4.44,3.44,1,0,Lot's O' Nuts_East,1.1,935.0,425.0,996,0,0,Secret Factory,722.5,794.75,1.9990753050185086,0.0,140.25,-782.78,-794.75,-116.88,Reallocate,Low,75.0
