Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Factory Latitude,Factory Longitude,Distance (km),Lead Time
1,ORD00001,2025-02-07,2025-02-08,Same Day,CUST9313,USA,Houston,TX,38140,Sugar,South,P138,Laffy Taffy,763.73,284,270.9,492.83,Sugar Shack,48.11914,-96.18115,297,1
2,ORD00002,2025-05-04,2025-05-05,Same Day,CUST3028,USA,Chicago,IL,39260,Chocolate,Central,P745,Wonka Bar - Fudge Mallows,199.1,56,37.95,161.15,Lot's O' Nuts,32.881893,-111.768036,386,1
3,ORD00003,2025-04-24,2025-04-25,Same Day,CUST7867,USA,New York,NY,28907,Sugar,East,P653,Everlasting Gobstopper,122.13,33,26.71,95.42,Secret Factory,41.446333,-90.565487,303,1
4,ORD00004,2025-10-25,2025-10-29,Second,CUST2028,USA,Los Angeles,CA,83972,Chocolate,West,P161,Wonka Bar - Fudge Mallows,393.92,106,136.23,257.69,Lot's O' Nuts,32.881893,-111.768036,522,4
5,ORD00005,2025-08-07,2025-08-12,Same Day,CUST6924,USA,Houston,TX,49291,Other,South,P354,Fizzy Lifting Drinks,794.38,170,341.5,452.88,Sugar Shack,48.11914,-96.18115,2277,5
6,ORD00006,2025-10-22,2025-10-25,Second,CUST8353,USA,Houston,TX,47740,Other,South,P723,Lickable Wallpaper,790.98,163,332.46,458.52,Secret Factory,41.446333,-90.565487,435,3
7,ORD00007,2025-06-25,2025-06-27,Same Day,CUST2271,USA,New York,NY,83148,Chocolate,East,P686,Wonka Bar - Fudge Mallows,484.57,87,151.08,333.49,Lot's O' Nuts,32.881893,-111.768036,775,2
8,ORD00008,2025-11-01,2025-11-06,First,CUST2533,USA,Los Angeles,CA,45381,Other,West,P585,Lickable Wallpaper,1147.63,264,368.9,778.73,Secret Factory,41.446333,-90.565487,1534,5
9,ORD00009,2025-11-28,2025-12-04,Standard,CUST6685,USA,New York,NY,12957,Sugar,East,P572,Hair Toffee,753.43,238,227.1,526.33,The Other Factory,35.1175,-89.971107,1368,6
10,ORD00010,2025-01-31,2025-02-08,Standard,CUST5056,USA,Houston,TX,62153,Sugar,South,P500,Laffy Taffy,528.79,121,114.9,413.89,Sugar Shack,48.11914,-96.18115,2122,8
