Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Factory Latitude,Factory Longitude,Distance (km),Lead Time,Profit Margin (%),Sales per Unit,Cost per Unit,Distance Category,High Value Order,Route ID,Shipping Rate ($/km),Estimated Shipping Cost,Delivery Efficiency Score,Factory Order Count,Factory Workload
1,ORD00001,2025-02-07,2025-02-08,1,CUST9313,USA,Houston,TX,38140,2,2,P138,Laffy Taffy,763.73,284,270.9,492.83,2,48.11914,-96.18115,297,1,35.47,2.69,1.74,2,1,Sugar Shack_South,1.1,326.7,297.0,1676,0
2,ORD00002,2025-05-04,2025-05-05,1,CUST3028,USA,Chicago,IL,39260,0,0,P745,Wonka Bar - Fudge Mallows,199.1,56,37.95,161.15,0,32.881893,-111.768036,386,1,19.06,3.56,2.88,2,0,Lot's O' Nuts_Central,1.1,424.6,386.0,996,0
3,ORD00003,2025-04-24,2025-04-25,1,CUST7867,USA,New York,NY,28907,2,1,P653,Everlasting Gobstopper,122.13,33,26.71,95.42,1,41.446333,-90.565487,303,1,21.87,3.7,2.89,2,0,Secret Factory_East,1.1,333.3,303.0,977,2
4,ORD00004,2025-10-25,2025-10-29,2,CUST2028,USA,Los Angeles,CA,83972,0,3,P161,Wonka Bar - Fudge Mallows,393.92,106,136.23,257.69,0,32.881893,-111.768036,522,4,34.58,3.72,2.43,1,0,Lot's O' Nuts_West,0.6,313.2,130.5,996,0
5,ORD00005,2025-08-07,2025-08-12,1,CUST6924,USA,Houston,TX,49291,1,2,P354,Fizzy Lifting Drinks,794.38,170,341.5,452.88,2,48.11914,-96.18115,2277,5,42.99,4.67,2.66,3,1,Sugar Shack_South,1.1,2504.7,455.4,1676,0
6,ORD00006,2025-10-22,2025-10-25,2,CUST8353,USA,Houston,TX,47740,1,2,P723,Lickable Wallpaper,790.98,163,332.46,458.52,1,41.446333,-90.565487,435,3,42.03,4.85,2.81,2,1,Secret Factory_South,0.6,261.0,145.0,977,2
7,ORD00007,2025-06-25,2025-06-27,1,CUST2271,USA,New York,NY,83148,0,1,P686,Wonka Bar - Fudge Mallows,484.57,87,151.08,333.49,0,32.881893,-111.768036,775,2,31.18,5.57,3.83,1,0,Lot's O' Nuts_East,1.1,852.5,387.5,996,0
8,ORD00008,2025-11-01,2025-11-06,0,CUST2533,USA,Los Angeles,CA,45381,1,3,P585,Lickable Wallpaper,1147.63,264,368.9,778.73,1,41.446333,-90.565487,1534,5,32.14,4.35,2.95,3,1,Secret Factory_West,0.8,1227.2,306.8,977,2
9,ORD00009,2025-11-28,2025-12-04,3,CUST6685,USA,New York,NY,12957,2,1,P572,Hair Toffee,753.43,238,227.1,526.33,3,35.1175,-89.971107,1368,6,30.14,3.17,2.21,0,1,The Other Factory_East,0.45,615.6,228.0,681,1
10,ORD00010,2025-01-31,2025-02-08,3,CUST5056,USA,Houston,TX,62153,2,2,P500,Laffy Taffy,528.79,121,114.9,413.89,2,48.11914,-96.18115,2122,8,21.73,4.37,3.42,3,0,Sugar Shack_South,0.45,954.9,265.25,1676,0
11,ORD00011,2025-08-18,2025-08-23,3,CUST8053,USA,Chicago,IL,82118,1,0,P385,Kazookles,1068.85,215,451.03,617.82,3,35.1175,-89.971107,781,5,42.2,4.97,2.87,1,1,The Other Factory_Central,0.45,351.45,156.2,681,1
12,ORD00012,2025-04-29,2025-05-04,0,CUST4822,USA,Chicago,IL,11581,2,0,P596,Hair Toffee,191.75,87,43.2,148.55,3,35.1175,-89.971107,1658,5,22.53,2.2,1.71,3,0,The Other Factory_Central,0.8,1326.4,331.6,681,1
13,ORD00013,2025-01-03,2025-01-07,0,CUST6220,USA,Houston,TX,26448,1,2,P807,Wonka Gum,304.18,84,90.2,213.98,1,41.446333,-90.565487,1254,4,29.65,3.62,2.55,0,0,Secret Factory_South,0.8,1003.2,313.5,977,2
14,ORD00014,2025-07-20,2025-07-25,1,CUST7560,USA,New York,NY,18158,1,1,P295,Wonka Gum,671.4,213,139.44,531.96,1,41.446333,-90.565487,2390,5,20.77,3.15,2.5,3,1,Secret Factory_East,1.1,2629.0,478.0,977,2
15,ORD00015,2025-02-26,2025-02-28,1,CUST3478,USA,Houston,TX,80335,0,2,P203,Wonka Bar - Fudge Mallows,696.72,184,144.39,552.33,0,32.881893,-111.768036,764,2,20.72,3.79,3.0,1,1,Lot's O' Nuts_South,1.1,840.4,382.0,996,0
16,ORD00016,2025-11-11,2025-11-16,3,CUST6691,USA,New York,NY,88941,2,1,P472,Laffy Taffy,510.84,202,132.82,378.02,2,48.11914,-96.18115,951,5,26.0,2.53,1.87,1,0,Sugar Shack_East,0.45,427.95,190.2,1676,0
17,ORD00017,2025-08-27,2025-09-04,3,CUST2674,USA,New York,NY,54909,2,1,P858,Nerds,864.73,255,173.79,690.94,2,48.11914,-96.18115,2099,8,20.1,3.39,2.71,3,1,Sugar Shack_East,0.45,944.55,262.38,1676,0
18,ORD00018,2025-01-12,2025-01-19,2,CUST3401,USA,Chicago,IL,81194,0,0,P127,Wonka Bar - Triple Dazzle Caramel,676.43,115,230.52,445.91,4,32.076176,-81.088371,2214,7,34.08,5.88,3.88,3,1,Wicked Choccy's_Central,0.6,1328.4,316.29,670,1
19,ORD00019,2025-09-23,2025-09-29,3,CUST4650,USA,Los Angeles,CA,79807,1,3,P654,Lickable Wallpaper,1049.91,197,307.09,742.82,1,41.446333,-90.565487,1169,6,29.25,5.33,3.77,0,1,Secret Factory_West,0.45,526.05,194.83,977,2
20,ORD00020,2025-05-03,2025-05-07,2,CUST9480,USA,Los Angeles,CA,74589,1,3,P464,Lickable Wallpaper,962.19,215,242.01,720.18,1,41.446333,-90.565487,899,4,25.15,4.48,3.35,1,1,Secret Factory_West,0.6,539.4,224.75,977,2
21,ORD00021,2025-08-30,2025-09-05,3,CUST6640,USA,New York,NY,68619,2,1,P927,Hair Toffee,440.38,142,158.64,281.74,3,35.1175,-89.971107,1244,6,36.02,3.1,1.98,0,0,The Other Factory_East,0.45,559.8,207.33,681,1
22,ORD00022,2025-04-23,2025-04-25,0,CUST4348,USA,Los Angeles,CA,73262,1,3,P739,Kazookles,168.92,62,40.76,128.16,3,35.1175,-89.971107,429,2,24.13,2.72,2.07,2,0,The Other Factory_West,0.8,343.2,214.5,681,1
23,ORD00023,2025-11-26,2025-11-30,1,CUST7365,USA,New York,NY,36125,1,1,P589,Kazookles,241.78,53,51.69,190.09,3,35.1175,-89.971107,1509,4,21.38,4.56,3.59,3,0,The Other Factory_East,1.1,1659.9,377.25,681,1
24,ORD00024,2025-02-14,2025-02-17,1,CUST2391,USA,Houston,TX,30821,1,2,P274,Kazookles,927.49,212,364.01,563.48,3,35.1175,-89.971107,1461,3,39.25,4.37,2.66,0,1,The Other Factory_South,1.1,1607.1,487.0,681,1
25,ORD00025,2025-12-02,2025-12-09,2,CUST8771,USA,New York,NY,96149,0,1,P458,Wonka Bar -Scrumdiddlyumptious,396.28,84,141.85,254.43,0,32.881893,-111.768036,2006,7,35.8,4.72,3.03,3,0,Lot's O' Nuts_East,0.6,1203.6,286.57,996,0
26,ORD00026,2025-11-29,2025-12-03,3,CUST8107,USA,Houston,TX,35533,0,2,P945,Wonka Bar -Scrumdiddlyumptious,307.36,62,132.74,174.62,0,32.881893,-111.768036,158,4,43.19,4.96,2.82,2,0,Lot's O' Nuts_South,0.45,71.1,39.5,996,0
27,ORD00027,2025-04-19,2025-04-25,3,CUST6341,USA,Houston,TX,43995,1,2,P657,Wonka Gum,725.81,159,288.1,437.71,1,41.446333,-90.565487,1131,6,39.69,4.56,2.75,0,1,Secret Factory_South,0.45,508.95,188.5,977,2
28,ORD00028,2025-08-23,2025-08-30,3,CUST9219,USA,Houston,TX,27139,2,2,P644,SweeTARTS,1223.92,274,524.79,699.13,2,48.11914,-96.18115,1549,7,42.88,4.47,2.55,3,1,Sugar Shack_South,0.45,697.05,221.29,1676,0
29,ORD00029,2025-11-08,2025-11-10,1,CUST3319,USA,New York,NY,72061,0,1,P733,Wonka Bar -Scrumdiddlyumptious,53.25,12,11.97,41.28,0,32.881893,-111.768036,850,2,22.48,4.44,3.44,1,0,Lot's O' Nuts_East,1.1,935.0,425.0,996,0
30,ORD00030,2025-12-16,2025-12-22,3,CUST2738,USA,New York,NY,83439,2,1,P158,Hair Toffee,1157.89,275,380.52,777.37,3,35.1175,-89.971107,1435,6,32.86,4.21,2.83,0,1,The Other Factory_East,0.45,645.75,239.17,681,1
31,ORD00031,2025-02-20,2025-02-22,0,CUST2038,USA,Houston,TX,68097,0,2,P433,Wonka Bar - Milk Chocolate,860.94,269,153.35,707.59,4,32.076176,-81.088371,272,2,17.81,3.2,2.63,2,1,Wicked Choccy's_South,0.8,217.6,136.0,670,1
32,ORD00032,2025-09-18,2025-09-23,0,CUST5057,USA,Houston,TX,78578,1,2,P997,Fizzy Lifting Drinks,1498.2,283,502.49,995.71,2,48.11914,-96.18115,1952,5,33.54,5.29,3.52,3,1,Sugar Shack_South,0.8,1561.6,390.4,1676,0
33,ORD00033,2025-03-12,2025-03-18,2,CUST2188,USA,Los Angeles,CA,97969,1,3,P346,Kazookles,589.48,223,187.18,402.3,3,35.1175,-89.971107,1933,6,31.75,2.64,1.8,3,1,The Other Factory_West,0.6,1159.8,322.17,681,1
34,ORD00034,2025-03-04,2025-03-09,2,CUST6999,USA,New York,NY,28740,2,1,P359,SweeTARTS,543.29,89,200.75,342.54,2,48.11914,-96.18115,1340,5,36.95,6.1,3.85,0,0,Sugar Shack_East,0.6,804.0,268.0,1676,0
35,ORD00035,2025-02-18,2025-02-20,1,CUST4665,USA,Houston,TX,31163,1,2,P823,Kazookles,1026.11,213,235.38,790.73,3,35.1175,-89.971107,999,2,22.94,4.82,3.71,1,1,The Other Factory_South,1.1,1098.9,499.5,681,1
36,ORD00036,2025-04-11,2025-04-16,0,CUST1319,USA,Chicago,IL,54299,2,0,P667,SweeTARTS,720.1,192,279.21,440.89,2,48.11914,-96.18115,1825,5,38.77,3.75,2.3,3,1,Sugar Shack_Central,0.8,1460.0,365.0,1676,0
37,ORD00037,2025-06-19,2025-06-26,3,CUST2053,USA,Chicago,IL,24791,2,0,P907,Nerds,1263.75,274,425.36,838.39,2,48.11914,-96.18115,1674,7,33.66,4.61,3.06,3,1,Sugar Shack_Central,0.45,753.3,239.14,1676,0
38,ORD00038,2025-05-20,2025-05-26,3,CUST3122,USA,New York,NY,65345,0,1,P969,Wonka Bar - Milk Chocolate,147.83,30,34.89,112.94,4,32.076176,-81.088371,1187,6,23.6,4.93,3.76,0,0,Wicked Choccy's_East,0.45,534.15,197.83,670,1
39,ORD00039,2025-10-02,2025-10-04,1,CUST2465,USA,Los Angeles,CA,46577,1,3,P158,Kazookles,1294.47,273,495.54,798.93,3,35.1175,-89.971107,711,2,38.28,4.74,2.93,1,1,The Other Factory_West,1.1,782.1,355.5,681,1
40,ORD00040,2025-05-18,2025-05-19,1,CUST2372,USA,Houston,TX,89715,1,2,P976,Lickable Wallpaper,93.38,18,37.83,55.55,1,41.446333,-90.565487,396,1,40.51,5.19,3.09,2,0,Secret Factory_South,1.1,435.6,396.0,977,2
41,ORD00041,2025-08-21,2025-08-24,0,CUST5388,USA,New York,NY,91487,0,1,P232,Wonka Bar - Milk Chocolate,53.95,15,18.73,35.22,4,32.076176,-81.088371,598,3,34.72,3.6,2.35,1,0,Wicked Choccy's_East,0.8,478.4,199.33,670,1
42,ORD00042,2025-05-15,2025-05-20,3,CUST5997,USA,Houston,TX,79610,0,2,P877,Wonka Bar - Nutty Crunch Surprise,120.25,35,51.9,68.35,0,32.881893,-111.768036,761,5,43.16,3.44,1.95,1,0,Lot's O' Nuts_South,0.45,342.45,152.2,996,0
43,ORD00043,2025-12-11,2025-12-16,1,CUST5103,USA,Los Angeles,CA,14843,0,3,P115,Wonka Bar - Milk Chocolate,369.77,101,149.96,219.81,4,32.076176,-81.088371,2148,5,40.55,3.66,2.18,3,0,Wicked Choccy's_West,1.1,2362.8,429.6,670,1
44,ORD00044,2025-08-17,2025-08-20,1,CUST9110,USA,Houston,TX,81553,0,2,P954,Wonka Bar - Nutty Crunch Surprise,320.13,64,118.8,201.33,0,32.881893,-111.768036,1106,3,37.11,5.0,3.15,0,0,Lot's O' Nuts_South,1.1,1216.6,368.67,996,0
45,ORD00045,2025-04-28,2025-05-01,0,CUST3289,USA,Chicago,IL,63044,1,0,P455,Kazookles,638.68,185,269.32,369.36,3,35.1175,-89.971107,981,3,42.17,3.45,2.0,1,1,The Other Factory_Central,0.8,784.8,327.0,681,1
46,ORD00046,2025-11-17,2025-11-21,3,CUST7240,USA,Houston,TX,76314,0,2,P786,Wonka Bar - Nutty Crunch Surprise,444.9,140,84.14,360.76,0,32.881893,-111.768036,389,4,18.91,3.18,2.58,2,0,Lot's O' Nuts_South,0.45,175.05,97.25,996,0
47,ORD00047,2025-08-24,2025-08-26,0,CUST5312,USA,Houston,TX,57728,0,2,P436,Wonka Bar - Triple Dazzle Caramel,289.04,104,92.08,196.96,4,32.076176,-81.088371,285,2,31.86,2.78,1.89,2,0,Wicked Choccy's_South,0.8,228.0,142.5,670,1
48,ORD00048,2025-06-08,2025-06-11,2,CUST7252,USA,Los Angeles,CA,20995,2,3,P586,Fun Dip,347.43,121,58.06,289.37,2,48.11914,-96.18115,241,3,16.71,2.87,2.39,2,0,Sugar Shack_West,0.6,144.6,80.33,1676,0
49,ORD00049,2025-01-03,2025-01-10,2,CUST7545,USA,Houston,TX,86913,0,2,P142,Wonka Bar - Triple Dazzle Caramel,151.69,56,30.71,120.98,4,32.076176,-81.088371,2167,7,20.25,2.71,2.16,3,0,Wicked Choccy's_South,0.6,1300.2,309.57,670,1
50,ORD00050,2025-11-19,2025-11-23,0,CUST3543,USA,New York,NY,96185,2,1,P833,SweeTARTS,391.74,129,170.99,220.75,2,48.11914,-96.18115,1346,4,43.65,3.04,1.71,0,0,Sugar Shack_East,0.8,1076.8,336.5,1676,0
